"YEAR","STATE","UNIT_ID","FIRE_NUM","FIRE_NAME","AGENCY","C_METHOD","CAUSE","INC_NUM","OBJECTIVE","COMMENTS","REPORT_AC","GIS_ACRES","Shape_Leng","Shape_Area","ALARM_DATE","CONT_DATE_","ID_NUM"
2007,CA,ANF,00000166,RANCH,USF,7,2,00000166,1,,54716.000000000000000,58410.335937500000000,169150.715690138000000,236378245.169020000000000,10/20/07,11/15/07,1
2007,CA,KRN,00718055,WHITE,CCO,7,2,00018055,1,,12432.150000000000000,12432.160156250000000,42225.311665764700000,50311168.468657800000000,06/24/07,06/29/07,2
2007,CA,MCP,00001111,AMMO,DOD,8,14,00000000,1,,21084.000000000000000,21493.908203125000000,55925.994474510800000,86982761.422794800000000,10/23/07,11/01/07,3
2007,CA,INF,00000015,SAGE,USF,2,1,00000015,1,Part of the Inyo Complex,6460.000000000000000,6462.620117187500000,38003.226527230200000,26153295.793930600000000,07/06/07,07/11/07,4
2007,CA,ORC,00000085,SANTIAGO,CDF,3,9,00000085,1,,28476.000000000000000,28429.980468750000000,86612.287190181400000,115052046.152140000000000,10/21/07,11/08/07,5
2007,CA,BDF,00000167,SLIDE,USF,7,9,00000167,1,,12759.000000000000000,12769.248046875000000,74185.915952905400000,51675311.509597200000000,10/22/07,11/14/07,6
2007,CA,MVU,00000000,RICE,CDF,3,9,00010502,1,,0.000000000000000,9471.853515625000000,51738.224781922300000,38331231.935515600000000,10/07/07,11/05/07,7
2007,CA,FKU,00008730,TAR,CDF,2,14,00008730,1,,5670.000000000000000,5671.028320312500000,24980.060431639300000,22949836.578913500000000,08/10/07,08/19/07,8
2007,CA,PNF,00000098,MOONLIGHT,USF,7,2,00000098,1,,64995.000000000000000,64959.957031250000000,82138.262364576500000,262883613.948089000000000,09/03/07,09/25/07,9
2007,CA,INF,00000022,OAK,USF,2,1,00000022,1,Part of the Inyo Complex,12051.000000000000000,27062.869140625000000,83818.989474144600000,109519543.383013000000000,07/06/07,07/13/07,10
2007,CA,MVU,00000087,POOMACHA,CDF,7,9,00010643,1,,49390.000000000000000,49410.968750000000000,119199.724712318000000,199959093.235808000000000,10/23/07,12/01/07,11
2007,CA,TNF,00000064,RALSTON,USF,2,9,00001443,1,,8422.000000000000000,8421.043945312500000,45005.699671537600000,34078757.486793100000000,09/05/06,09/17/07,12
2007,CA,MDF,00000055,FLETCHER,USF,1,1,00000055,1,,8121.000000000000000,8081.956542968750000,41625.796942347700000,32706518.208794500000000,07/10/07,08/04/07,13
2007,CA,SCU,00000000,LICK,CDF,2,5,00005214,1,,47760.000000000000000,47748.273437500000000,89863.377830717200000,193230406.132307000000000,09/03/07,09/15/07,14
2007,CA,LAC,00000167,BUCKWEED,CCO,2,8,00000167,1,LACo # 232185,38356.000000000000000,38347.472656250000000,93267.910929479900000,155186722.594586000000000,10/21/07,10/21/07,15
2007,CA,MVU,00000082,WITCH,CDF,7,9,00000082,1,,197990.000000000000000,162070.468750000000000,348140.815907170000000,655875906.470818000000000,10/21/07,10/31/07,16
2007,CA,SBC,00000020,ZACA,CDF,7,2,00000020,1,,240207.000000000000000,240358.703125000000000,278821.306981479000000,972697148.203524000000000,07/04/07,09/02/07,17
2007,CA,PNF,00000053,WHEELER,USF,8,1,00000053,1,Part of the Antelope Complex,22906.000000000000000,22331.923828125000000,71550.437369551400000,90374085.974391000000000,07/05/07,07/21/07,18
2007,CA,BDF,00000158,BUTLER #2,USF,8,9,00000158,1,,14039.000000000000000,13736.270507812500000,52067.939802602600000,55588714.336820200000000,09/14/07,12/31/07,19
2007,CA,KNF,00000032,KING CREEK,USF,7,1,00000032,1,"Part of the Elk Complex, Total Cost 18,600,000",10617.000000000000000,10477.378906250000000,70506.092356726900000,42400448.157331000000000,07/10/07,12/06/07,20
2007,CA,MVU,00000000,HARRIS 2,CDF,3,14,00010427,1,,0.000000000000000,90728.328125000000000,201121.344619272000000,367164512.848971000000000,10/21/07,11/02/07,21
2005,CA,CDD,0000B031,CHINA LAKE,BLM,2,16,0000B031,1,,10350.000000000000000,10357.568359375000000,38284.055427384600000,41915590.862858200000000,07/18/05,07/24/05,22
2005,CA,NOD,00003444,BARREL,BLM,2,1,00003444,1,,24800.000000000000000,24410.216796875000000,85430.509503820800000,98784644.429019900000000,08/22/05,09/09/05,23
