Temp_Year,Annual_5_Year_Mean
1882,-0.16
1883,-0.19
1884,-0.22
1885,-0.27
1886,-0.27
1887,-0.24
1888,-0.25
1889,-0.24
1890,-0.22
1891,-0.24
1892,-0.28
1893,-0.25
1894,-0.23
1895,-0.2
1896,-0.2
1897,-0.17
1898,-0.15
1899,-0.15
1900,-0.18
1901,-0.2
1902,-0.25
1903,-0.29
1904,-0.31
1905,-0.33
1906,-0.35
1907,-0.35
1908,-0.38
1909,-0.43
1910,-0.42
1911,-0.4
1912,-0.34
1913,-0.27
1914,-0.25
1915,-0.26
1916,-0.24
1917,-0.26
1918,-0.29
1919,-0.26
1920,-0.24
1921,-0.23
1922,-0.24
1923,-0.23
1924,-0.21
1925,-0.19
1926,-0.19
1927,-0.2
1928,-0.19
1929,-0.19
1930,-0.18
1931,-0.2
1932,-0.15
1933,-0.16
1934,-0.17
1935,-0.14
1936,-0.09
1937,-0.07
1938,-0.02
1939,0.04
1940,0.06
1941,0.09
1942,0.15
1943,0.15
1944,0.12
1945,0.09
1946,0.05
1947,-0.02
1948,-0.08
1949,-0.09
1950,-0.08
1951,-0.05
1952,-0.05
1953,-0.05
1954,-0.07
1955,-0.07
1956,-0.07
1957,-0.04
1958,-0.02
1959,0.03
1960,0.03
1961,0.03
1962,-0.02
1963,-0.04
1964,-0.06
1965,-0.07
1966,-0.09
1967,-0.04
1968,-0.01
1969,-0.02
1970,-0.01
1971,0.03
1972,0
1973,0
1974,-0.01
1975,0.03
1976,0.01
1977,0.06
1978,0.12
1979,0.2
1980,0.19
1981,0.24
1982,0.24
1983,0.21
1984,0.18
1985,0.22
1986,0.24
1987,0.27
1988,0.33
1989,0.38
1990,0.35
1991,0.32
1992,0.33
1993,0.33
1994,0.32
1995,0.37
1996,0.44
1997,0.47
1998,0.46
1999,0.5
2000,0.53
2001,0.53
2002,0.55
2003,0.6
2004,0.62
2005,0.63
2006,0.61
2007,0.63
2008,0.64
2009,0.63
2010,0.62
2011,0.65
2012,0.67
2013,0.7
