key,value,type
Diamond Pushup,9.4,"Get in the modified push-up position on your knees but with your hands together and back flat. Spread your fingers so that your index fingers and thumbs form a diamond, and extend your arms. This is your start position. Allow your elbows to break, lowering your chest toward the floor while keeping your back flat. Press back up to full arm extension, repeating for the required number of reps. To make the movement more difficult, stay up on your toes rather than on your knees."
Dynamic Chest Stretch,8.2,"Stand with your hands together, arms extended directly in front of you. This will be your starting position.
Keeping your arms straight, quickly move your arms back as far as possible and back in again, similar to an exaggerated clapping motion. Repeat 5-10 times, increasing speed as you do so."
    ,,0
Child's pose,9.5,"Get on your hands and knees, walk your hands in front of you.
Lower your buttocks down to sit on your heels. Let your arms drag along the floor as you sit back to stretch your entire spine.
Once you settle onto your heels, bring your hands next to your feet and relax. "breathe" into your back. Rest your forehead on the floor. Avoid this position if you have knee problems."
Glute Bridge,8.8,"Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.
Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second.
Slowly go back to the starting position as you breathe in."
   ,,0
Shoulder Circles,7.7,"With shoulders relaxed and arms resting loosely at your sides (or in your lap if you're seated), gently roll your shoulders forward, up, back, and down.
Reverse direction. You can do this exercise alternating shoulders or both at the same time."
Rotator Cuff,6.8,"Begin by standing. Put one arm up to the side with a 90 degree angle at the armpit. Another 90 degree angle at the elbow with your hand level with the top of your head. Rotate your shoulder, making your hand go down to about chin level."
  ,,0
Arm Circles, 8.3,"Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.
Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.
Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction."
Arm Swings,7.4,"Stand up straight with your knees slightly bent, your feet shoulder width apart and your arms stretched horizontally to the sides. Cross your arms at the front and then quickly bring them back as far as you can Repeat this back and forth until the set is complete."
 ,,0
Front Leg Raises,8.4,"Stand next to a chair or other support, holding on with one hand.
Swing your leg forward, keeping the leg straight. Continue with a downward swing, bringing the leg as far back as your flexibility allows. Repeat 5-10 times, and then switch legs."
Leg-Up Hamstring Stretch,7.8,"Lie flat on your back, bend one knee, and put that foot flat on the floor to stabilize your spine.
Extend the other leg in the air. If you're tight, you wont be able to straighten it. That's okay. Extend the knee so that the sole of the lifted foot faces the ceiling (or as close as you can get it).
Slowly straighten the legs as much as possible and then pull the leg toward your nose. Switch sides."
