key,value,type
Elbows Back,6.8,"Stand up straight.
Place both hands on your lower back, fingers pointing downward and elbows out.
Then gently pull your elbows back aiming to touch them together."
Chest Stretch on Stability Ball,5.1,"Get on your hands and knees next to an exercise ball.
Place your elbows on top of the ball, keeping your arm out to your side. This will be your starting position.
Lower your torso towards the floor, keeping your elbow on top of the ball. Hold the stretch for 20-30 seconds, and repeat with the other arm."
    ,,0
Superman,9.1,"To begin, lie straight and face down on the floor or exercise mat. Your arms should be fully extended in front of you. This is the starting position.
Simultaneously raise your arms, legs, and chest off of the floor and hold this contraction for 2 seconds. Tip: Squeeze your lower back to get the best results from this exercise. Remember to exhale during this movement. Note: When holding the contracted position, you should look like superman when he is flying.
Slowly begin to lower your arms, legs and chest back down to the starting position while inhaling."
Arm Against Wall,5.8,"From a standing position, place a bent arm against a wall or doorway.
Slowly lean toward your arm until you feel a stretch in your lats."
   ,,0
Round The World Shoulder Stretch,5.3,"Stand up straight with your legs together, holding a bodybar or broomstick.
Hold the pole behind your hips with a wider than shoulder width grip. Your palms should be down and your thumbs facing out.
Slowly lift your arms up behind your head. Don't force it if it gets hard to lift further."
One Handed Hang,3.6,"Grab onto a chinup bar with one hand, using a pronated grip. Keep your feet on the floor or a step. Allow the majority of your weight to hang from that hand, while keeping your feet on the ground. Hold for 10-20 seconds and switch sides."
  ,,0
Seated Biceps,5.0,"Sit on the floor with your knees bent and your partner standing behind you. Extend your arms straight behind you with your palms facing each other. Your partner will hold your wrists for you. This will be the starting position.
Attempt to flex your elbows, while your partner prevents any actual movement.
After 10-20 seconds, relax your arms while your partner gently pulls your wrists up to stretch your biceps. Be sure to let your partner know when the stretch is appropriate to prevent injury or overstretching."
Triceps Stretch,4.8,"Reach your hand behind your head, grasp your elbow and gently pull. Hold for 10 to 20 seconds, then switch sides."
 ,,0
Standing Toe Touches,6.7,"Stand with some space in front and behind you.
Bend at the waist, keeping your legs straight, until you can relax and let your upper body hang down in front of you. Let your arms and hands hang down naturally. Hold for 10 to 20 seconds."
Seated Floor Hamstring Stretch,5.1,"Sit on a mat with your right leg extended in front of you and your left leg bent with your foot against your right inner thigh.
Lean forward from your hips and reach for your ankle until you feel a stretch in your hamstring. Hold for 15 seconds, then repeat for your other side."
