Country Code,Country,1990,2000,2011,2012,2013
AFG,Afghanistan,N/A,N/A,N/A,N/A,N/A
ALB,Albania,N/A,96.9,325.4,292.2,327.1
DZA,Algeria,N/A,N/A,N/A,N/A,N/A
AND,Andorra,N/A,N/A,N/A,N/A,N/A
AGO,Angola,N/A,N/A,N/A,N/A,N/A
ATG,Antigua and Barbuda,N/A,N/A,N/A,N/A,N/A
ARG,Argentina,N/A,N/A,N/A,N/A,N/A
ARM,Armenia,N/A,N/A,N/A,N/A,N/A
AUS,Australia,N/A,N/A,N/A,N/A,N/A
AUT,Austria,N/A,N/A,N/A,N/A,N/A
AZE,Azerbaijan,N/A,N/A,N/A,N/A,N/A
BHS,Bahamas,N/A,N/A,N/A,N/A,N/A
BHR,Bahrain,N/A,N/A,N/A,N/A,N/A
BGD,Bangladesh,642.9,5066.6,19214.5,19788.1,23500.9
BRB,Barbados,N/A,N/A,N/A,N/A,N/A
BLR,Belarus,N/A,261.9,506.4,577.1,573.8
BEL,Belgium,N/A,N/A,N/A,N/A,N/A
BLZ,Belize,N/A,N/A,N/A,N/A,N/A
BEN,Benin,N/A,N/A,N/A,N/A,N/A
BTN,Bhutan,N/A,N/A,N/A,N/A,N/A
BOL,Bolivia (Plurinational State of),N/A,N/A,N/A,N/A,N/A
BIH,Bosnia and Herzegovina,N/A,N/A,204.5,177.2,206.9
BWA,Botswana,N/A,30.5,236.8,57.1,72.7
BRA,Brazil,246.6,281.5,192.9,166.9,162.9
BRN,Brunei Darussalam,N/A,N/A,N/A,N/A,N/A
BGR,Bulgaria,N/A,N/A,N/A,N/A,N/A
BFA,Burkina Faso,N/A,N/A,N/A,N/A,N/A
BDI,Burundi,N/A,N/A,N/A,N/A,N/A
CPV,Cabo Verde,N/A,N/A,N/A,N/A,N/A
KHM,Cambodia,N/A,969.9,3994.5,4294.3,5095.3
CMR,Cameroon,N/A,N/A,N/A,N/A,N/A
CAN,Canada,328.1,2076.9,1288.7,1279.7,1275.4
CAF,Central African Republic,N/A,N/A,N/A,N/A,N/A
TCD,Chad,N/A,N/A,N/A,N/A,N/A
CHL,Chile,N/A,N/A,N/A,N/A,N/A
CHN,China,9669.2,36070.9,153773.6,159613.7,177434.9
COL,Colombia,459.6,520.2,649.9,702.6,614.9
COM,Comoros,N/A,N/A,N/A,N/A,N/A
COG,Congo,N/A,N/A,N/A,N/A,N/A
CRI,Costa Rica,53.9,659.7,172.3,193.1,128.9
HRV,Croatia,N/A,N/A,N/A,N/A,N/A
CUB,Cuba,N/A,N/A,N/A,N/A,N/A
CYP,Cyprus,N/A,N/A,N/A,N/A,N/A
CZE,Czech Republic,N/A,N/A,N/A,N/A,N/A
CIV,Cote d'Ivoire,N/A,N/A,N/A,N/A,N/A
PRK,Democratic People's Republic of Korea,N/A,N/A,N/A,N/A,N/A
COD,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,N/A
DNK,Denmark,N/A,N/A,N/A,N/A,N/A
DJI,Djibouti,N/A,N/A,N/A,N/A,N/A
DMA,Dominica,N/A,N/A,N/A,N/A,N/A
DOM,Dominican Republic,782,2555.4,645.4,757.1,805.7
ECU,Ecuador,N/A,N/A,N/A,N/A,N/A
EGY,Egypt,144.4,312.7,1552.9,1257.6,1364.8
SLV,El Salvador,184,1673,1828.9,1911.9,2066.6 GIN,Guinea,N/A,N/A,N/A,N/A,N/A
ERI,Eritrea,N/A,N/A,N/A,N/A,N/A
EST,Estonia,N/A,N/A,N/A,N/A,N/A
ETH,Ethiopia,N/A,N/A,N/A,N/A,N/A
FJI,Fiji,N/A,N/A,N/A,N/A,N/A
FIN,Finland,N/A,N/A,N/A,N/A,N/A
FRA,France,N/A,N/A,N/A,N/A,N/A
GAB,Gabon,N/A,N/A,N/A,N/A,N/A
GMB,Gambia,N/A,N/A,N/A,N/A,N/A
GEO,Georgia,N/A,N/A,N/A,N/A,N/A
DEU,Germany,N/A,N/A,N/A,N/A,N/A
GHA,Ghana,N/A,N/A,N/A,N/A,N/A
GRC,Greece,N/A,N/A,N/A,N/A,N/A
GRD,Grenada,N/A,N/A,N/A,N/A,N/A
GTM,Guatemala,24,49.1,1255,1229.3,1318
GIN,Guinea,N/A,N/A,N/A,N/A,N/A
GNB,Guinea-Bissau,N/A,N/A,N/A,N/A,N/A
GUY,Guyana,N/A,N/A,N/A,N/A,N/A
HTI,Haiti,63.5,244.7,677.4,720.1,N/A
HND,Honduras,64,2275,3807.7,3717.9,4010.9
HUN,Hungary,N/A,N/A,N/A,N/A,N/A
ISL,Iceland,N/A,N/A,N/A,N/A,N/A
IND,India,2529.7,5964.5,14671.9,13832.7,16842.8
IDN,Indonesia,1646.5,4734,8045.2,7523.7,7692.5
IRN,Iran (Islamic Republic of),N/A,N/A,N/A,N/A,N/A
