team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,3808,1308,310,35,18,9
Atlanta Falcons,BD0D18,black,4553,1498,381,22,16,13
Baltimore Ravens,purple,black,3819,2019,409,49,11,16
Buffalo Bills,00338D,C60C30,3614,1482,343,54,19,14
Carolina Panthers,black,0088CE,3511,2036,339,40,14,22
Chicago Bears,03202F,DD4814,3792,1441,319,39,14,18
Cincinnati Bengals,FB4F14,black,3421,2147,365,20,20,7
Cleveland Browns,FE3C00,26201E,3465,1728,299,31,21,15
Dallas Cowboys,0D254C,C5CED6,3784,2354,467,28,18,15
Denver Broncos,FB4F14,002244,4661,1785,482,41,18,15
Detroit Lions,006DB0,white,4030,1422,321,42,20,11
Green Bay Packers,203731,FFB612,4261,1917,486,41,18,12
Houston Texans,02253A,B31B34,3352,2161,372,38,20,17
Indianapolis Colts,white,003B7B,4894,1612,458,41,12,21
Jacksonville Jaguars,black,006778,3001,1633,249,45,6,19
Kansas City Chiefs,B20032,F2C800,3182,1918,353,46,6,13
Miami Dolphins,008D97,F5811F,3729,1872,388,39,14,13
Minnesota Vikings,3B0160,F0BF00,3244,1804,325,41,13,9
New England Patriots,0D254C,D6D6D6,4121,1727,468,40,16,15
New Orleans Saints,black,D2B887,4764,1818,401,34,12,11
New York Giants,192F45,white,4272,1603,380,47,17,15
New York Jets,0C371D,white,2946,2280,283,45,6,9
Oakland Raiders,black,C4C8CB,3275,1240,253,22,9,12
Philadelphia Eagles,003B48,white,4356,1992,474,49,12,24
Pittsburgh Steelers,black,FFB612,4825,1752,436,33,11,12
Saint Louis Rams,13264B,C9AF74,3400,1635,324,40,13,17
San Diego Chargers,0C2340,FFB81C,4098,1367,348,26,7,16
San Francisco 49ers,AF1E2C,E6BE8A,3063,2176,306,36,23,10
Seattle Seahawks,002244,69BE28,3250,2762,394,37,13,18
Tampa Bay Buccaneers,D60A0B,89765F,3297,1375,277,36,14,16
Tennessee Titans,0D254C,648FCC,3412,1447,254,39,12,5
Washington Redskins,773141,FFB612,4047,1691,301,36,7,14
