date,India,India: Urban,India: Rural,China,China: Urban,China: Rural
1960,449661874,80597394,369064480,667070000,108085352,558984648
1961,458691457,82711244,375980213,660330000,110327936,550002064
1962,468054145,85270104,382784041,665770000,114685540,551084460
1963,477729958,87926199,389803759,682335000,121162226,561172774
1964,487690114,90685977,397004137,698355000,127791981,570563019
1965,497920270,93534323,404385947,715185000,129348359,585836641
1966,508402908,96479620,411923288,735400000,131746910,603653090
1967,519162069,99528560,419633509,754550000,134196718,620353282
1968,530274729,102693004,427581725,774510000,136747486,637762514
1969,541844848,105995689,435849159,796025000,139527262,656497738
1970,553943226,109459181,444484045,818315000,142386810,675928190
1971,566605402,113270086,453335316,841105000,145443877,695661123
1972,579800632,117821286,461979346,862030000,148131235,713898765
1973,593451889,122565619,470886270,881940000,151552570,730387430
1974,607446519,127509099,479937420,900350000,155688522,744661478
1975,621703641,132621821,489081820,916395000,159452730,756942270
1976,636182810,137905348,498277462,930685000,162497601,768187399
1977,650907559,143368899,507538660,943455000,165293316,778161684
1978,665936435,149029915,516906520,956165000,171153535,785011465
1979,681358553,154913681,526444872,969005000,180399661,788605339
1980,697229745,161046127,536183618,981235000,189947471,791287529
1981,713561406,167094674,546466732,993885000,199949784,793935216
1982,730303461,172694859,557608602,1008630000,210823843,797806157
1983,747374856,178465642,568909214,1023310000,220472140,802837860
1984,764664278,184383497,580280781,1036825000,230206255,806618745
1985,782085127,190422087,591663040,1051040000,240414890,810625110
1986,799607235,196583439,603023796,1066790000,251325056,815464944
1987,817232241,202861559,614370682,1084035000,262976051,821058949
1988,834944397,209262114,625682283,1101630000,275121076,826508924
1989,852736160,215784885,636951275,1118650000,287504237,831145763
1990,870601776,222412636,648189140,1135185000,300165618,835019382
1991,888513869,229041105,659472764,1150780000,314301034,836478966
1992,906461358,235534919,670926439,1164970000,328521540,836448460
1993,924475633,242129413,682346220,1178440000,342961393,835478607
1994,942604211,248838086,693766125,1191835000,357836540,833998460
1995,960874982,255660006,705214976,1204855000,373035157,831819843
1996,979290432,262616315,716674117,1217550000,388593258,828956742
1997,997817250,269690046,728127204,1230075000,404485562,825589438
1998,1016402907,276868152,739534755,1241935000,420606126,821328874
1999,1034976626,284132133,750844493,1252735000,436766058,815968942
2000,1053481072,291466608,762014464,1262645000,452999147,809645853
2001,1071888190,299249745,772638445,1271850000,471767321,800082679
2002,1090189358,307913082,782276276,1280400000,491993700,788406300
2003,1108369577,316683356,791686221,1288400000,512473984,775926016
2004,1126419321,325568976,800850345,1296075000,533257098,762817902
2005,1144326293,334543792,809782501,1303720000,554367818,749352182
2006,1162088305,343617891,818470414,1311020000,575118254,735901746
2007,1179685631,352796785,826888846,1317885000,595670841,722214159
2008,1197070109,362065825,835004284,1324655000,616481190,708173810
2009,1214182182,371381904,842800278,1331260000,637407288,693852712
2010,1230984504,380743507,850240997,1337705000,658498663,679206337
2011,1247446011,390151214,857294797,1344130000,679766865,664363135
2012,1263589639,399686039,863903600,1350695000,700862129,649832871
2013,1279498874,409362870,870136004,1357380000,721691798,635688202
2014,1295291543,419234061,876057482,1364270000,742299307,621970693
2015,1311050527,429329716,881720811,1371220000,762590291,608629709
2016,1326802000,439649000,887153000,1377507000,782121000,595386000
2017,1342513000,450212000,892301000,1383288000,800965000,582323000
2018,1358138000,460979000,897159000,1388513000,819028000,569485000
2019,1373605000,471943000,901662000,1393152000,836268000,556885000
2020,1388859000,483087000,905772000,1397198000,852654000,544544000
2021,1403883000,494405000,909477000,1400662000,868186000,532476000
2022,1418681000,505887000,912793000,1403545000,882816000,520729000
2023,1433243000,517544000,915699000,1405871000,896552000,509319000
2024,1447560000,529358000,918202000,1407670000,909411000,498259000
2025,1461625000,541342000,920283000,1408977000,921373000,487605000
2026,1475425000,553461000,921963000,1409831000,932490000,477341000
2027,1488943000,565739000,923204000,1410269000,942765000,467504000
2028,1502165000,578138000,924027000,1410323000,952222000,458101000
2029,1515075000,590667000,924408000,1410014000,960868000,449146000
2030,1527658000,603287000,924371000,1409352000,968718000,440634000
2031,1539907000,616009000,923898000,1408336000,975765000,432570000
2032,1551814000,628826000,922988000,1406964000,982019000,424945000
2033,1563366000,641699000,921667000,1405249000,987483000,417767000
2034,1574548000,654618000,919930000,1403218000,992188000,411031000
2035,1585350000,667559000,917791000,1400923000,996155000,404769000
2036,1595764000,680482000,915282000,1398401000,999423000,398978000
2037,1605792000,693349000,912443000,1395671000,1001994000,393677000
2038,1615450000,706226000,909224000,1392746000,1004393000,388353000
2039,1624756000,719085000,905672000,1389626000,1006590000,383037000
2040,1633728000,731926000,901801000,1386300000,1008602000,377697000
2041,1642369000,744716000,897653000,1382738000,1010380000,372357000
2042,1650680000,757480000,893199000,1378912000,1011915000,366998000
2043,1658659000,770182000,888477000,1374808000,1013178000,361629000
2044,1666305000,782847000,883458000,1370404000,1014167000,356236000
2045,1673619000,795438000,878181000,1365674000,1014860000,350814000
2046,1680600000,807965000,872635000,1360605000,1015229000,345376000
2047,1687252000,820410000,866843000,1355187000,1015279000,339908000
2048,1693585000,832770000,860816000,1349423000,1015009000,334414000
2049,1699610000,845063000,854547000,1343330000,1014416000,328914000
2050,1705333000,857271000,848062000,1336607000,1013282000,323325000
