country	TotalRef	Lat	Long	CampName
Egypt	115204	31.029338	31.033052	All Egypt
Jordan	108921	36.13776	32.060212	Zarga Governorate
Egypt	115204	31.029338	31.033052	All Egypt
Jordan	108921	36.13776	32.060212	Zarga Governorate
Jordan	135280	35.85393	32.55568	Irbid Governorate
Jordan	174988	35.972182	31.855537	Amman Governorate
Jordan	7378	35.682679	30.225803	Ma'an Governorate
Jordan	158683	37.667556	32.370069	Mafrag Governorate
Jordan	19050	35.738026	32.03885	Balga Governorate
Jordan	8413	35.687361	31.177578	Karak Governorate
Jordan	9686	35.888287	32.264683	Jarash Governorate
Jordan	10762	35.801488	31.717782	Madaba Governorate
Jordan	7988	35.758312	32.347874	Ajlun Governorate
Jordan	3397	35.550291	29.868005	Aqaba Governorate
Jordan	1520	35.589756	30.811597	Tafilah Governorate
Iraq	81024	42.971009	36.860196	Duhok
Iraq	29295	45.384481	35.554975	Sulaymaniyah
Iraq	109149	44.007242	36.182563	Erbil
Iraq	4487	41.122907	34.213127	Anbar
Iraq	1528	44.405178	33.308139	Refugee Dispread
Lebanon	251299	35.845298	34.424996	North Lebanon
Lebanon	287651	35.50712	33.881496	Beirut
Lebanon	117750	35.461277	33.602473	South Lebanon
Lebanon	360733	35.854860	34.182623	Bekaa
Saudi Arabia	420000	40.542759	30.449704	All Sauidi Arabia
Turkey	2764500	39.629211	37.617328	All turkey
