player,nation,team,age,feet,inches,weight,games,goals,assists,shots,shotsOT,yearEarnings
Cristiano Ronaldo,Portugal,Real Madrid,31,6,1,174,56,59,15,366,156,88
Lionel Messi,Argentina,Barcelona,29,5,7,148,59,48,28,301,136,81.5
Neymar,Brazil,Barcelona,24,5,9,141,59,38,26,225,103,37.5
Zlatan Ibrahimovic,Sweden,Paris Saint Germain,35,6,5,183,50,53,16,219,111,37.5 
Mesut Ozil,Germany,Arsenal,28,5,11,161,50,9,21,61,29,19.3
Gareth Bale,Wales,Real Madrid,27,6,0,162,38,24,14,139,52,36
Wayne Rooney,England,Manchester Utd,31,5,9,172,44,14,8,114,37,26.1
Sergio Aguero,Argentina,Manchester City,28,5,8,152,52,35,8,193,85,24.3
Eden Hazard,Belgium,Chelsea,25,5,8,163,42,11,10,76,31,22
James Rodriguez,Colombia,Real Madrid,25,5,11,172,35,13,13,93,37,22.1
Luis Suarez,Uruguay,Barcelona,29,6,0,179,65,65,28,234,115,23.8
Cesc Fabregas,Spain,Chelsea,29,5,9,150,49,6,11,63,26,21
Yaya Toure,Ivory Coast,Manchester City,33,6,2,172,44,9,7,113,34,20
Radamel Falcao,Columbia,Chelsea,30,5,10,165,7,1,0,27,6,19
Bastian Schweinsteiger,Germany,Manchester Unt,32,6,0,172,23,1,0,20,4,18
Angel Di Maria,Argentina,Paris Saint Germain,28,5,10,141,58,19,23,144,55,18
Robin Van Persie,Netherlands,Fenerbahce,33,6,2,157,12,1,0,32,16,17
David Silva,Spain,Manchester City,30,5,8,148,41,6,14,67,14,17
Samir Nasri,France,Manchester City,29,5,9,165,6,2,2,17,9,15
