County,China_National_Party,Democratic_Progressive_Party,Other,Green_Vote,Blue_Vote,English_Name
台北市,63.03,36.97,n,593256,1011546,Taipei City
新北市,61.06,38.94,n,866915,1359419,New Taipei City
基隆市,67.73,32.27,n,72562,152327,Keelung City
宜蘭縣,51.42,48.58,n,123700,130951,Yilan County
桃園市,64.64,35.36,n,379416,693602,Taoyuan City
新竹縣,74.02,25.98,n,73178,208445,Hsinchu County
新竹市,64.7,35.3,n,79634,145930,Hsinchu City
苗栗縣,70.99,29.01,n,92795,227069,Miaoli County
台中市,61.74,38.26,n,226751,365979,Taichung City
彰化縣,57.59,42.41,n,309134,419700,Changhua County
南投縣,62.03,37.97,n,109955,179630,Nantou County
雲林縣,48.47,51.53,n,199558,187705,Yunlin County
嘉義縣,45.56,54.44,n,166833,139603,Chiayi County
嘉義市,52.39,47.61,n,72442,79713,Chiayi City
台南市,50.71,49.29,n,216815,223034,Tainan City
高雄市,51.59,48.41,n,440367,469252,Kaohsiung City
屏東縣,49.75,50.25,n,249795,247305,Pingtung County
花蓮縣,73.32,26.68,n,40003,137604,Hualian County
台東縣,77.48,22.52,n,29714,81668,Taitung County
澎湖縣,57.93,42.07,n,18181,25037,Penghu County
金門縣,95.13,4.87,n,1710,33384,Kinmen County
連江縣,95.16,4.84,n,220,4329,Lienchiang County
